Pfolio Code ,Security ,Total Value (Pfolio)
LLINDU,BONYZAR ,00003404797.26
LLINDU,SIMMB4  ,00020028272.98
LLINDV,BONYZAR ,00000574339.58
LLINDV,SIMMB4  ,00006514102.50
LLLAMU,SIMMB4  ,00005770570.11
LLLIPR,SIMMB4  ,00000000000.00
LLPBSK,BNYUSD  ,00000057662.14
LLPBSK,EURCLEUR,00000006841.31
LLPBSK,PRUCASH ,00002639681.41
LLPBSK,SIMMB4  ,00000000000.01
LLPBSK,XMARVAR ,00000865702.02
LLPBSR,BNYUSD  ,00000215642.13
LLPBSR,EURCLEUR,00000224689.83
LLPBSR,PRUCASH ,00034220144.51
LLPBSR,SIMMB4  ,00000000000.13
LLPBSR,XMARVAR ,00007464281.10
LLPBST,BNYUSD  ,00000450762.23
LLPBST,EURCLEUR,00000624437.58
LLPBST,PRUCASH ,00115765799.10
LLPBST,SIMMB4  ,00000000000.65
LLPBST,XMARVAR ,00033848020.85
LLPPSK,SIMMB4  ,00009885742.00
LLPPSR,SIMMB4  ,00222934298.64
LLPPST,SIMMB4  ,00384357702.72
LLPPSU,SIMMB4  ,00070675666.33
LLPRFR,SIMMB4  ,00000000000.00
LLPROR,SIMMB4  ,00000000000.00
LUIARF,SIMMB4  ,00002200675.53
LUIARF,STANCH01,00031975521.03
LUINC ,SIMMB4  ,00234322784.88
LUINC ,STANCH01,01317193709.10
LUINC ,XMARVAR ,00001091644.35
METANK,SIMMB4  ,00000000000.00
METBND,SIMMB4  ,00000000000.00
MINEWR,FNBCUR01,00000442375.49
MINEWR,SIMMB4  ,00004044898.06
MINPEN,SIMMB4  ,00000502927.29
MINPEN,STDCUR01,00000655874.95
MINPRO,SIMMB4  ,00000002078.25
MINPRO,STDCUR01,00000561189.69
MITPEN,SIMMB4  ,00000000000.00
MITPRO,SIMMB4  ,00000000000.00
MWATER,SIMMB4  ,00000000000.00
MWATER,STDCUR01,00001103475.97
N0011I,ABSACAL1,00001000000.00
N0011I,STDCUR01,00000377632.43
N0017I,BNYUSD  ,00000004289.12
N0017I,NAMBCURR,-0000233854.83
N0017I,STANCH01,00000092074.12
N0083I,SIMMB4  ,00000000000.00
N0372I,SIMMB4  ,00000000000.00
NASPER,SIMMB4  ,00000000000.00
NEFG  ,SIMMB4  ,00000052069.23
NEFG  ,STDCUR01,00001079781.38
NEWTYR,SIMMB4  ,00000000000.00
NJMPR ,NEDBANK ,00001200524.33
NJMPR ,SIMMB4  ,00000000000.00
NJMPR ,XMARVAR ,00005368676.69
NJMRE ,NEDBANK ,00001129264.37
NJMRE ,SIMMB4  ,00000000000.00
NJMRE ,XMARVAR ,00005242913.32
NJMSU ,NEDBANK ,00003944971.28
NJMSU ,SIMMB4  ,00000000000.00
NJMSU ,XMARVAR ,00016037129.51
OPMRTR,SIMMB4  ,00000000000.00
P0012I,SIMMB4  ,00000000000.00
POLMED,SIMMB4  ,00005992500.13
POLMED,STDCUR01,00003480960.22
PPWAWU,FNBCUR01,00000546088.80
PPWAWU,SIMMB4  ,00000352013.00
PRASA ,SIMMB4  ,00000312647.13
PRASA ,STANCH01,00001084440.95
PRASA ,STDCUR01,00000001633.81
PREDIP,SIMMB4  ,00000000000.00
PRI197,SIMMB4  ,00000000031.55
PRI197,STDCUR01,-0088832333.12
PRI202,ABSACOL ,00000056652.77
PRI202,SIMMB4  ,00000000114.17
PRI202,STDCUR01,-0362262367.51
PRMCOL,SIMMB4  ,00000000000.00
RMALAC,SIMMB4  ,00000000027.35
RMALAC,STDCUR01,00000111971.00
S0011I,BNYUSD  ,00004061400.70
S0011I,SIMMB4  ,00004064118.34
S0011I,STANCH01,00003802936.25
S0011I,SWAZICL2,00010775025.97
S0011I,XMARVAR ,00000493042.41
S0023I,SIMMB4  ,00003723225.10
S0023I,STDCUR01,00001107449.30
S0046I,BNYUSD  ,00000126796.92
S0046I,SIMMB4  ,00000321737.85
S0046I,STDCUR01,00000273104.69
S0124I,NAMBCURR,00000929782.56
S0124I,SIMMB4  ,00000000000.00
S0124I,STDCUR01,00000079734.46
S0164I,ABSACAL1,00146000000.00
S0164I,SIMMB4  ,00291417090.79
S0164I,STANCH01,00136435765.40
S01ARF,SIMMB4  ,00000028583.37
S01ARF,STANCH01,00002153560.33
S2003I,SIMMB4  ,00000000000.00
S2575I,BNYUSD  ,00000613001.37
S2575I,SIMMB4  ,00001644672.96
S2575I,STDCUR01,00000973621.65
S2575I,XMARVAR ,00001911745.49
S2580I,BNYUSD  ,00000667904.15
S2580I,SIMMB4  ,00002131712.95
S2580I,STDCUR01,00001027118.82
S2580I,XMARVAR ,00002063841.99
S2585I,BNYUSD  ,00000519081.75
S2585I,SIMMB4  ,00001286376.03
S2585I,STDCUR01,00000662345.88
S2585I,XMARVAR ,00001243685.23
S75IRF,STDCUR01,00005684261.40
SALAPF,NEDBANK ,00000776631.55
SALAPF,SIMMB4  ,00003819872.87
SAPBON,SIMMB4  ,00000000000.00
SAT197,SIMMB4  ,00000000026.59
SAT197,STDCUR01,-0014253393.06
SAT202,ABSACOL ,00000007672.73
SAT202,SIMMB4  ,00000000027.73
SAT202,STDCUR01,-0028807841.31
SBGESP,BNYUSD  ,00000490055.82
SBGESP,BONYZAR ,00000527350.79
SBGESP,S/CHARNY,00000251511.92
SBGESP,SIMMB4  ,00000613552.99
SBGESP,STDCUR01,00000377621.14
SBGESP,XMARVAR ,00000638981.06
SBGPRV,BNYUSD  ,00000649932.13
SBGPRV,BONYZAR ,00000526584.49
SBGPRV,SIMMB4  ,00001711114.08
SBGPRV,STDCUR01,00001073920.94
SBGPRV,XMARVAR ,00001713446.76
SBNINC,NAMBCURR,00054001954.02
SBNINC,SIMMB4  ,00000000508.12
SBNINC,XXSFTR  ,00000000003.03
SBSWAZ,SIMMB4  ,00001085814.18
SBSWAZ,STDCUR01,00000949021.20
SBWAZ2,SIMMB4  ,00000256200.32
SBWAZ2,STDCUR01,00000213897.28
SLAARF,SIMMB4  ,00000195150.38
SLAARF,STANCH01,00005431451.04
SLAINF,SIMMB4  ,00000006814.99
SLAINF,STANCH01,00012476319.08
SLAINF,XMARVAR ,00002852908.88
SLBALC,BNYUSD  ,00098794255.83
SLBALC,BONYZAR ,00000101563.81
SLBALC,SIMMB4  ,00026292079.51
SLBALC,STANCH01,00013279761.25
SLBALC,XMARVAR ,00082014758.72
SLCARF,SIMMB4  ,00000012447.50
SLCARF,STANCH01,00002806008.18
SLCASH,ABSACAL1,00300000000.00
SLCASH,HSBCCAL2,00028500000.00
SLCASH,SIMMB4  ,00000000000.00
SLCASH,STANCH01,00034690950.95
SLIPRO,BNYUSD  ,00000156262.60
SLIPRO,SIMMB4  ,00000562848.79
SLIPRO,STDCUR01,00000315159.33
SLIPRO,XMARVAR ,00001343185.97
SLMSP5,SIMMB4  ,00062350298.61
SLMSP5,STANCH01,00006874962.68
SLWTH4,BNYUSD  ,00012154855.92
SLWTH4,HSBCEGP ,00000899055.48
SLWTH4,HSBCEGP2,00001589659.50
SLWTH4,SCBKES  ,00000000000.00
SLWTH4,SIMMB4  ,00004615654.96
SLWTH4,STANCH01,00032642674.74
SLWTH4,STDNGN  ,-0000088533.71
SLWTH4,STDTZS  ,00000145242.15
SM5ARF,SIMMB4  ,00000041187.67
SM5ARF,STANCH01,00000730117.68
SMBARF,SIMMB4  ,00000003249.11
SMBARF,STANCH01,00000130087.28
SMBOND,SIMMB4  ,00000170210.58
SMBOND,STANCH01,00008216029.44
SMCARF,SIMMB4  ,00000006358.62
SMCARF,STANCH01,00000238868.94
SMCORB,BONYZAR ,00000000175.87
SMCORB,SIMMB4  ,00020031021.58
SMCORB,STANCH01,00024192498.53
SMPROS,SIMMB4  ,00000092546.54
SMPROS,STANCH01,00055848746.94
SMSTAB,BNYUSD  ,00012639677.54
SMSTAB,BONYZAR ,00000101251.16
SMSTAB,CITIMAD ,00000000111.10
SMSTAB,HSBCEGP ,00000426433.58
SMSTAB,HSBCEGP2,00000458142.50
SMSTAB,SCBKES  ,00000000000.00
SMSTAB,SIMMB4  ,00029566601.51
SMSTAB,STANCH01,00013481580.87
SMSTAB,STDNGN  ,-0000075338.53
SMSTAB,STDTZS  ,00000133407.61
