IMPEN2,I2033M7 ,10/07/2017,17/08/2017,ZAR,00001800000.0000,RMB2  ,              ,00001870531.20,P,002.548370
IMPEN2,R202M7  ,31/07/2017,10/08/2017,ZAR,00002756000.0000,SASY  ,              ,00006531998.63,P,002.557860
IMPEN2,R202M7  ,07/08/2017,10/08/2017,ZAR,00002756000.0000,SASY  ,              ,00006563310.37,S,002.520000
IMPEN2,R202M7  ,10/07/2017,16/08/2017,ZAR,00037722000.0000,RMB2  ,              ,00089614740.82,P,002.547070
IMPFE2,I2046M7 ,25/07/2017,10/08/2017,ZAR,00004500000.0000,NBMN  ,              ,00005587419.15,P,002.555190
IMPFE2,I2046M7 ,07/08/2017,10/08/2017,ZAR,00004500000.0000,NBMN  ,              ,00005627166.30,S,002.520000
IMPFE2,I2046M7 ,07/08/2017,24/08/2017,ZAR,00004500000.0000,NBMN  ,              ,00005643354.60,P,002.517050
IMPFE2,R202M7  ,31/07/2017,10/08/2017,ZAR,00023500000.0000,SASY  ,              ,00055697375.85,P,002.557860
IMPFE2,R202M7  ,07/08/2017,10/08/2017,ZAR,00023500000.0000,SASY  ,              ,00055964366.40,S,002.520000
IMPPFT,R202M7  ,31/07/2017,10/08/2017,ZAR,00023500000.0000,SASY  ,              ,00055697375.85,P,002.557860
IMPPFT,R202M7  ,07/08/2017,10/08/2017,ZAR,00023500000.0000,SASY  ,              ,00055964366.40,S,002.520000
IMPPR2,I2033M7 ,10/07/2017,17/08/2017,ZAR,00003000000.0000,RMB2  ,              ,00003117552.00,P,002.548370
IMPPR2,R202M7  ,31/07/2017,10/08/2017,ZAR,00007700000.0000,SASY  ,              ,00018249778.47,P,002.557860
IMPPR2,R202M7  ,07/08/2017,10/08/2017,ZAR,00007700000.0000,SASY  ,              ,00018337260.48,S,002.520000
IMPPR2,R202M7  ,10/07/2017,16/08/2017,ZAR,00070319000.0000,RMB2  ,              ,00167054211.34,P,002.547070
IMPPRT,R202M7  ,31/07/2017,10/08/2017,ZAR,00039529400.0000,SASY  ,              ,00093688674.42,P,002.557860
IMPPRT,R202M7  ,07/08/2017,10/08/2017,ZAR,00039529400.0000,SASY  ,              ,00094137779.80,S,002.520000
IMPVE2,I2046M7 ,25/07/2017,10/08/2017,ZAR,00012000000.0000,NBMN  ,              ,00014899784.40,P,002.555190
