,,,,,,,Detailed Daily MTM - Extract,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade date,19 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement,24 Jul 17,,,,,,,,,,,,,,,,,,,,,,,,,
Bond Code,ISIN Code,Maturity ,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
AA05,ZAG000093931,22-Mar-19,9.27,R204,160,9.005,103.50209,100.35283,3.14926,10.965,9.005,-0.18,1.5343768,1.468268011,-1.51968806,151.96880606,2.9820364,,Rate,18-Jul-17,16-Jul-17,,,,Illiquid Methodology,
AA06,ZAG000114836,15-Apr-21,8.812,JIBAR,230,0.000,97.58247759,97.41348033,0.16899726,100,100,0,,0,,,,,Rate,25-Apr-17,24-Apr-17,,,,Price Traded Methodology,
AA07,ZAG000114828,15-Apr-21,9.49,R208,210,9.740,101.79894,99.19894,2.6,10.855,9.54,-0.1,3.1441348,2.99812606,-3.05206058,305.20605781,11.4708575,,Rate,29-May-17,15-May-17,,,,Illiquid Methodology,
AB010,ZAG000101221,21-Nov-17,9.292,JIBAR,140,0.000,101.7946164,100.1907918,1.603824658,100,100,0,,0,,,,,Price,09-Jun-17,18-May-17,,,,Price Traded Methodology,
AB011,ZAG000101239,21-Nov-18,9.392,JIBAR,200,0.000,101.6969338,100.0758489,1.621084932,100,100,0,,0,,,,,Price,03-Jul-17,25-Apr-17,,,,Price Traded Methodology,
AB013,ZAG000101254,21-Nov-18,8.295,R204,200,9.405,100.06685,98.61238,1.45447,9.99,9.22,-0.06,1.2666549,1.209765638,-1.21057430,121.05743042,2.0834791,,Rate,10-Jul-17,04-Jun-17,,,,Illiquid Methodology,
ABCPI3,ZAG000073669,07-Dec-23,5.5,R197,206,4.650,261.92827,260.1673,1.76097,4.65,3.1,0.46,5.4495457,5.325722686,-13.94957268,1394.95726824,33.9078300,,Price,17-Jul-17,30-Mar-17,2.486471977,41.17247027,102.3741935,Inflation Linked Methodology,
ABFN07,ZAG000084724,17-Mar-18,8.767,JIBAR,95.8,0.000,101.1616354,100.3209642,0.840671233,100,100,0,,0,,,,,Price,07-Jul-17,21-May-17,,,,Price Traded Methodology,
ABFN08,ZAG000084757,17-Mar-20,9.067,JIBAR,126,0.000,102.03567,101.1662317,0.869438356,100,100,0,,0,,,,,Price,17-Jul-17,12-Jun-17,,,,Price Traded Methodology,
ABFN09,ZAG000084765,17-Mar-26,9.267,JIBAR,195,0.000,100.8993312,100.0107148,0.888616438,100,100,0,,0,,,,,Price,25-Nov-16,17-Jul-17,,,,Price Traded Methodology,
ABFN10,ZAG000109919,28-Oct-19,8.322,JIBAR,115,0.000,99.56649485,99.65769485,-0.0912,100,100,0,,0,,,,,Price,15-Jun-17,27-Apr-17,,,,Price Traded Methodology,
ABFN12,ZAG000114455,09-Apr-19,8.392,JIBAR,121.5,0.000,100.0678843,99.74599938,0.321884932,100,100,0,,0,,,,,Price,15-May-17,15-May-17,,,,Price Traded Methodology,
ABFN13,ZAG000126160,14-May-20,8.822,JIBAR,120,0.000,102.4012861,100.7093957,1.691890411,100,100,0,,0,,,,,Price,09-Jun-17,07-May-17,,,,Price Traded Methodology,
ABFN14,ZAG000126178,14-May-22,9.022,JIBAR,168,0.000,101.7433991,100.0131525,1.730246575,100,100,0,,0,,,,,Price,15-May-17,02-May-17,,,,Price Traded Methodology,
ABFN15,ZAG000130949,11-Nov-20,8.792,JIBAR,132.5,0.000,102.1525314,100.3700438,1.782487671,100,100,0,,0,,,,,Price,24-Mar-17,15-Mar-17,,,,Price Traded Methodology,
ABFN16,ZAG000130964,11-Nov-22,8.992,JIBAR,160,0.000,102.045559,100.2225234,1.823035616,100,100,0,,0,,,,,Price,29-Jun-17,19-Jun-17,,,,Price Traded Methodology,
ABFN17,ZAG000136607,17-May-19,8.742,JIBAR,125,0.000,101.8929843,100.2643377,1.628646575,100,100,0,,0,,,,,Price,12-Jun-17,09-Nov-16,,,,Price Traded Methodology,
ABFN18,ZAG000139684,26-Sep-23,9.155,JIBAR,183,0.000,100.7110699,100.0087686,0.70230137,100,100,0,,0,,,,,Price,01-Nov-16,17-Jul-17,,,,Price Traded Methodology,
ABFN20,ZAG000144213,30-May-20,8.633,JIBAR,130,0.000,101.3164091,100.0155461,1.300863014,100,100,0,,0,,,,,Price,23-Jun-17,17-Jul-17,,,,Price Traded Methodology,
ABFN21,ZAG000144221,30-May-22,8.933,JIBAR,160,0.000,101.3611259,100.0150574,1.346068493,100,100,0,,0,,,,,Price,22-Jun-17,17-Jul-17,,,,Price Traded Methodology,
ABFN22,ZAG000144239,30-May-24,9.183,JIBAR,185,0.000,101.3983731,100.0146333,1.383739726,100,100,0,,0,,,,,Price,23-Jun-17,17-Jul-17,,,,Price Traded Methodology,
ABFN23,ZAG000144296,25-May-27,9.392,JIBAR,205,0.000,101.5583354,100.014445,1.543890411,100,100,0,,0,,,,,Price,30-Jun-17,17-Jul-17,,,,Price Traded Methodology,
ABK1,ZAG000134420,07-Nov-18,11.5,R204,400,11.405,102.50951,100.05198,2.45753,11.965,11.27,-0.04,1.2080200,1.14285,,117.15251000,1.9010800,,Rate,23-May-17,19-Apr-16,,,,Illiquid Methodology,
ABK10,ZAG000134511,14-Feb-20,10.092,JIBAR,410,0.000,98.97346586,97.0380138,1.935452055,100,100,0,,0,,,,,Price,26-May-17,22-May-17,,,,Price Traded Methodology,
ABK11,ZAG000134529,20-May-19,10.192,JIBAR,380,0.000,100.2209182,98.46175103,1.759167123,100,100,0,,0,,,,,Price,14-Jul-17,22-May-17,,,,Price Traded Methodology,
ABK12,ZAG000134537,20-May-22,11.342,JIBAR,600,0.000,94.89929926,92.94163899,1.957660274,100,100,0,,0,,,,,Price,13-Jul-17,12-Jul-17,,,,Price Traded Methodology,
ABK2,ZAG000134438,24-May-18,9.5,R204,295,10.355,100.88129,99.29362,1.58767,11.215,10.255,-0.07,0.8114800,0.77153,,77.83312000,0.9718600,,Rate,21-Jun-17,08-Jun-17,,,,Illiquid Methodology,
ABK3,ZAG000134446,07-Nov-18,10.492,JIBAR,400,0.000,101.2138558,99.00047497,2.213380822,100,100,0,,0,,,,,Rate,23-Jun-17,19-Apr-16,,,,Price Traded Methodology,
ABK4,ZAG000134453,24-May-18,9.842,JIBAR,350,0.000,100.8714146,99.22658724,1.644827397,100,100,0,,0,,,,,Rate,01-Jun-17,22-May-17,,,,Price Traded Methodology,
ABK5,ZAG000134461,31-Oct-18,9.742,JIBAR,400,0.000,97.9516523,98.13848518,-0.186832877,100,100,0,,0,,,,,Rate,11-Jul-17,22-Jan-17,,,,Price Traded Methodology,
ABK6,ZAG000134479,05-Jun-20,9.825,JIBAR,250,0.000,101.3318932,100.0129206,1.318972603,100,100,0,,0,,,,,Price,19-Jan-17,09-Jun-16,,,,Price Traded Methodology,
ABK7,ZAG000134487,03-Jun-19,9.325,JIBAR,412.5,0.000,97.74082771,96.48897839,1.251849315,100,100,0,,0,,,,,Price,06-Jul-17,05-Jul-17,,,,Price Traded Methodology,
ABK8,ZAG000134495,03-Jun-21,9.965,JIBAR,480,0.000,94.73171306,93.39394594,1.337767123,100,100,0,,0,,,,,Price,26-May-17,23-May-17,,,,Price Traded Methodology,
ABK9,ZAG000134503,18-Nov-19,9.332,JIBAR,400,0.000,97.65975504,95.94675778,1.71299726,100,100,0,,0,,,,,Price,21-Nov-16,19-Apr-16,,,,Price Traded Methodology,
ABKI01,ZAG000134545,07-Nov-18,5.1,R212,400,6.600,147.22601,145.60928,1.61673,6.61,6,0.08,1.2506200,1.21067,,178.24186000,2.0797500,,Rate,30-May-17,16-May-16,,,,Inflation Linked Methodology,
ABKI02,ZAG000134552,05-Jun-20,4,R212,400,6.600,129.26088,128.52119,0.73969,6.61,6,0.08,2.7165200,2.62974,,339.92225000,8.4279400,,Price,04-Jul-17,16-May-16,,,,Inflation Linked Methodology,
ABKI03,ZAG000134560,13-Oct-21,3.2,R212,525,7.860,108.12082,106.97544,1.14538,7.87,6.63,0.19,3.9138900,3.76589,,407.17081000,16.7334100,,Rate,09-May-17,22-Jan-17,,,,Inflation Linked Methodology,
ABKI04,ZAG000134578,13-Mar-24,5.75,I2025,599,8.570,109.36781,106.76419,2.60362,8.58,8.05,0.06,5.3857480,5.164451303,,564.82472555,33.1205686,,Rate,03-Apr-17,17-Nov-16,,,,Inflation Linked Methodology,
ABKS1,ZAG000134412,05-Apr-21,14.6,JIBAR,1260,0.000,86.9561052,86.1561052,0.8,100,100,0,,0,,,,,Price,17-Jul-17,17-May-17,,,,Price Traded Methodology,
ABN05,ZAG000038878,18-Apr-21,2.97,R197,126,3.850,183.73684,182.25323,1.48361,3.85,2.43,0.53,3.5319599,3.465253794,-6.36694800,636.69479975,14.1622926,,Rate,18-Jul-17,28-Feb-17,1.879674663,54.46378332,102.3741935,Inflation Linked Methodology,
ABN33,ZAG000083643,29-Jan-18,0,R203,99.625,8.386,95.90561,95.90561,0,8.84625,8.2413,-0.04,,0,,,,,Price,03-Sep-15,17-Jul-17,,,,Price Traded Methodology,
ABN34,ZAG000083650,29-Jan-18,0,R203,99.625,8.386,95.90561,95.90561,0,8.84625,8.2413,-0.04,,0,,,,,Price,16-Sep-15,17-Jul-17,,,,Price Traded Methodology,
ABN61,ZAG000099565,31-Jan-25,2,I2025,95,3.540,118.52211,118.5727,-0.05059,3.55,3.01,0.16,6.9867854,6.865270106,-8.13686320,813.68631973,52.7675017,,Price,23-Sep-16,27-Oct-14,1.318778082,77.62806717,102.3741935,Inflation Linked Methodology,
ABN62,ZAG000099573,31-Mar-28,2.6,R210,74,3.230,172.40738,170.92321,1.48417,3.24,2.74,0.13,9.2716133,9.124256552,-15.73089150,1573.08915033,95.8939566,,Price,31-May-17,04-Jul-17,1.811772666,56.50498845,102.3741935,Inflation Linked Methodology,
ABN63,ZAG000099581,07-Dec-33,3.45,R202,60,3.180,218.6837,217.74835,0.93535,3.18,2.65,0.16,12.6636969,12.46549555,-27.26000541,2726.00054088,188.7240515,,Price,23-Sep-16,10-Jul-17,2.105448728,48.62345598,102.3741935,Inflation Linked Methodology,
ABN67,ZAG000102559,28-Feb-23,7.75,R2023,161,9.645,95.00221,91.90221,3.1,10.255,9.435,-0.06,4.4550057,4.25004719,-4.03763874,403.76387437,23.0672089,,Price,18-Feb-16,24-Mar-13,,,,Illiquid Methodology,
ABN72,ZAG000105271,17-Mar-18,8.767,,,0.000,101.2522958,101.2522958,0,0,0,0,,0,,,,,Price,06-Feb-17,02-Apr-14,,,,Issuer Valuated,
ABN74,ZAG000105800,09-May-18,7.74,,,0.000,132.64,132.64,0,0,0,0,,0,,,,,Price,24-May-13,17-Jul-17,,,,Issuer Valuated,
ABN79,ZAG000106816,21-Dec-26,10.5,R186,140.5,10.050,103.6258,102.67648,0.94932,10.43,9.71,-0.03,6.1888489,5.892738746,-6.10639764,610.63976395,47.3970222,,Price,06-Jun-17,17-Jul-17,,,,Illiquid Methodology,
ABN80,ZAG000106832,31-Mar-21,6.75,R208,117.5,8.815,95.72362,93.59691,2.12671,9.48,8.615,-0.07,3.2389514,3.102220978,-2.96955824,296.95582371,11.9769517,,Price,10-Oct-16,17-Jul-17,,,,Illiquid Methodology,
ABN85,ZAG000107251,05-Jul-18,0,,,0.000,100,100,0,0,0,0,,0,,,,,Price,19-Jul-13,05-Aug-13,,,,Issuer Valuated,
ABN86,ZAG000107665,01-Aug-18,0,,,0.000,100,100,0,0,0,0,,0,,,,,Price,01-Aug-13,01-Aug-13,,,,Issuer Valuated,
